ISO,Year,Country,Classification,Disaster.Type,Disaster.Subgroup,Region,Continent,Total.Deaths..adjusted.,Total.Damage..adjusted.,CPI,X.1.90.per.day...poverty.gap.index,co2_per_capita,Constant,Damage.pergdp
AGO,1981,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,35.56517152,11.4941,0.61,1,1.80E-10
AGO,1985,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,42.07452677,11.61723,0.469,1,1.32E-10
AGO,1987,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,60,1,44.44423842,11.64421,0.541,1,1.24E-10
AGO,1989,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,48.48936537,11.77973,0.43,1,9.80E-11
AGO,1989,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,767,1,48.48936537,11.77973,0.43,1,9.80E-11
AGO,1989,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,48.48936537,11.77973,0.43,1,9.80E-11
AGO,1995,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,1,1,59.60449489,19.28785,0.785,1,1.81E-10
AGO,1997,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,62.7858352,16.40187,0.494,1,1.31E-10
AGO,1998,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,116,1,63.76045524,16.1317,0.473,1,1.54E-10
AGO,1999,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,148,1,65.15554686,16.3489,0.575,1,1.63E-10
AGO,1999,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,42,1,65.15554686,16.3489,0.575,1,1.63E-10
AGO,2000,Angola,Sub Tropical,Landslide,Hydrological,Middle Africa,Africa,14,1,67.35575898,16.40268,0.58,1,1.10E-10
AGO,2000,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,12,1,67.35575898,16.40268,0.58,1,1.10E-10
AGO,2000,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,2,1,67.35575898,16.40268,0.58,1,1.10E-10
AGO,2000,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,32,10001,67.35575898,16.40268,0.58,1,1.10E-06
AGO,2000,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,4,1,67.35575898,16.40268,0.58,1,1.10E-10
AGO,2000,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,19,1,67.35575898,16.40268,0.58,1,1.10E-10
AGO,2001,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,31,1,69.25933995,17.11435,0.571,1,1.12E-10
AGO,2001,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,10,1,69.25933995,17.11435,0.571,1,1.12E-10
AGO,2001,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,59,1,69.25933995,17.11435,0.571,1,1.12E-10
AGO,2001,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,10,1,69.25933995,17.11435,0.571,1,1.12E-10
AGO,2001,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,49,1,69.25933995,17.11435,0.571,1,1.12E-10
AGO,2002,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,9,1,70.35781897,16.18178,0.719,1,6.54E-11
AGO,2003,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,10,1,71.95500655,17.22612,0.496,1,5.61E-11
AGO,2003,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,7,1,71.95500655,17.22612,0.496,1,5.61E-11
AGO,2004,Angola,Sub Tropical,Epidemic,Biological,Middle Africa,Africa,330,1,73.88141244,16.54976,0.997,1,4.25E-11
AGO,2004,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,2,1,73.88141244,16.54976,0.997,1,4.25E-11
AGO,2004,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,73.88141244,16.54976,0.997,1,4.25E-11
AGO,2004,Angola,Sub Tropical,Drought,Climatological,Middle Africa,Africa,1,1,73.88141244,16.54976,0.997,1,4.25E-11
AGO,2004,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,28,1,73.88141244,16.54976,0.997,1,4.25E-11
AGO,2005,Angola,Sub Tropical,Flood,Hydrological,Middle Africa,Africa,1,1,76.38802721,14.93736,0.978,1,2.70E-11
